starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	5	4	9	4
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	0	8	9	5
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	6
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	0	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	5	4	9	4
Sat Apr 06 00:47:27 2024	1712353647	0	9	9	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	6
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	9	8
Sat Apr 06 00:47:27 2024	1712353647	5	4	9	4
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	6
Sat Apr 06 00:47:27 2024	1712353647	3	6	9	6
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	0	9	9	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	9	9
Sat Apr 06 00:47:27 2024	1712353647	5	4	9	4
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	9	8
Sat Apr 06 00:47:27 2024	1712353647	5	5	9	4
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	9	9	9
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	9	9
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	2	7	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	5	5	9	4
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	9	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	5	5	9	4
Sat Apr 06 00:47:27 2024	1712353647	2	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	9	8
Sat Apr 06 00:47:27 2024	1712353647	3	6	9	6
Sat Apr 06 00:47:27 2024	1712353647	1	9	9	9
Sat Apr 06 00:47:27 2024	1712353647	0	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	7
Sat Apr 06 00:47:27 2024	1712353647	2	7	10	7
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	0	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	3	7	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	7
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	7
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	3	7	10	6
Sat Apr 06 00:47:27 2024	1712353647	3	7	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	3	7	10	6
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	4	6	10	6
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	3	8	10	7
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	3	7	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	2	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	4	7	10	6
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	3	7	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	8
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	4	7	10	7
Sat Apr 06 00:47:27 2024	1712353647	1	9	10	9
Sat Apr 06 00:47:27 2024	1712353647	3	7	10	7
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	0	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	3	8	10	8
Sat Apr 06 00:47:27 2024	1712353647	1	10	10	10
Sat Apr 06 00:47:27 2024	1712353647	1	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	2	8	11	8
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	3	7	11	7
Sat Apr 06 00:47:27 2024	1712353647	1	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	3	7	11	7
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	4	7	11	7
Sat Apr 06 00:47:27 2024	1712353647	3	8	11	8
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	6
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	3	8	11	7
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	4	7	11	7
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	3	8	11	8
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	6
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	4	7	11	7
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	0	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	0	11	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	0	11	11	10
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	0	11	11	11
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	0	11	11	7
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	0	11	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	0	11	11	10
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
Sat Apr 06 00:47:27 2024	1712353647	3	8	11	8
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	10
Sat Apr 06 00:47:27 2024	1712353647	1	11	11	10
Sat Apr 06 00:47:27 2024	1712353647	3	8	11	8
Sat Apr 06 00:47:27 2024	1712353647	3	8	11	8
Sat Apr 06 00:47:27 2024	1712353647	3	8	11	8
Sat Apr 06 00:47:27 2024	1712353647	1	10	11	7
Sat Apr 06 00:47:27 2024	1712353647	2	9	11	9
