starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 06 01:21:55 2024	1712355715	1	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	0	29	29	28
Sat Apr 06 01:21:55 2024	1712355715	4	25	29	25
Sat Apr 06 01:21:55 2024	1712355715	1	27	29	26
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:54 2024	1712355714	1	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	4	25	29	24
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	28
Sat Apr 06 01:21:54 2024	1712355714	0	29	29	28
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	1	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	1	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	0	28	29	28
Sat Apr 06 01:21:54 2024	1712355714	0	29	29	28
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	4	25	29	24
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	2	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	27
Sat Apr 06 01:21:54 2024	1712355714	2	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	2	28	29	25
Sat Apr 06 01:21:55 2024	1712355715	3	26	29	26
Sat Apr 06 01:21:55 2024	1712355715	4	25	29	24
Sat Apr 06 01:21:55 2024	1712355715	3	26	29	26
Sat Apr 06 01:21:55 2024	1712355715	2	28	29	27
Sat Apr 06 01:21:54 2024	1712355714	0	29	29	29
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	25
Sat Apr 06 01:21:54 2024	1712355714	0	29	29	29
Sat Apr 06 01:21:55 2024	1712355715	3	26	29	25
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	0	29	29	29
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:54 2024	1712355714	2	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	27	29	25
Sat Apr 06 01:21:54 2024	1712355714	1	29	29	29
Sat Apr 06 01:21:54 2024	1712355714	5	24	29	24
Sat Apr 06 01:21:54 2024	1712355714	2	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	4	25	29	23
Sat Apr 06 01:21:55 2024	1712355715	2	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	28	29	25
Sat Apr 06 01:21:54 2024	1712355714	2	27	29	27
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	27
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	1	29	29	29
Sat Apr 06 01:21:55 2024	1712355715	3	27	29	26
Sat Apr 06 01:21:54 2024	1712355714	1	29	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	28	29	27
Sat Apr 06 01:21:55 2024	1712355715	2	28	29	28
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	3	27	29	25
Sat Apr 06 01:21:54 2024	1712355714	5	24	29	24
Sat Apr 06 01:21:54 2024	1712355714	1	29	29	27
Sat Apr 06 01:21:54 2024	1712355714	5	24	29	24
Sat Apr 06 01:21:55 2024	1712355715	4	26	29	24
Sat Apr 06 01:21:54 2024	1712355714	5	24	29	24
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	25
Sat Apr 06 01:21:55 2024	1712355715	5	25	29	23
Sat Apr 06 01:21:55 2024	1712355715	1	29	29	28
Sat Apr 06 01:21:55 2024	1712355715	4	26	29	26
Sat Apr 06 01:21:54 2024	1712355714	1	28	29	28
Sat Apr 06 01:21:55 2024	1712355715	1	28	29	28
